psi,rho,rho_fit
1.855000000000000071e+01,7.339312500000026995e-01,7.295138109599581533e-01
1.864999999999999858e+01,7.363343750000025389e-01,7.295136654324168024e-01
1.875000000000000000e+01,7.298937500000023393e-01,7.295134959763627247e-01
1.885000000000000142e+01,7.331312500000024546e-01,7.295132986573404921e-01
1.895000000000000284e+01,7.309156250000025112e-01,7.295130688939749364e-01
1.905000000000000071e+01,7.267937500000023476e-01,7.295128013516047893e-01
1.915000000000000213e+01,7.290781250000020197e-01,7.295124898184259798e-01
1.925000000000000000e+01,7.305125000000025626e-01,7.295121270612732189e-01
1.935000000000000142e+01,7.299812500000025794e-01,7.295117046576884423e-01
1.945000000000000284e+01,7.303812500000027574e-01,7.295112128003822249e-01
1.955000000000000071e+01,7.324687500000028884e-01,7.295106400695451354e-01
1.965000000000000213e+01,7.347843750000023766e-01,7.295099731677285870e-01
1.975000000000000000e+01,7.322093750000020496e-01,7.295091966111391102e-01
1.985000000000000142e+01,7.323312500000025427e-01,7.295082923701838862e-01
1.995000000000000284e+01,7.288031250000025496e-01,7.295072394509261038e-01
2.005000000000000071e+01,7.302718750000022352e-01,7.295060134077395730e-01
2.015000000000000213e+01,7.274281250000028676e-01,7.295045857758553076e-01
2.025000000000000000e+01,7.320187500000027159e-01,7.295029234106382710e-01
2.035000000000000142e+01,7.284625000000021222e-01,7.295009877182705438e-01
2.045000000000000284e+01,7.330531250000023036e-01,7.294987337600007393e-01
2.055000000000000071e+01,7.303062500000021551e-01,7.294961092091933885e-01
2.065000000000000213e+01,7.292500000000026183e-01,7.294930531370069637e-01
2.075000000000000000e+01,7.311750000000027949e-01,7.294894945985593848e-01
2.085000000000000142e+01,7.307187500000023039e-01,7.294853509868374219e-01
2.095000000000000284e+01,7.290562500000027368e-01,7.294805261162307097e-01
2.105000000000000071e+01,7.285593750000025626e-01,7.294749079913408485e-01
2.115000000000000213e+01,7.286593750000019964e-01,7.294683662094532117e-01
2.125000000000000000e+01,7.305062500000023551e-01,7.294607489366244923e-01
2.135000000000000142e+01,7.299750000000025940e-01,7.294518793875339746e-01
2.145000000000000284e+01,7.322437500000024135e-01,7.294415517278494132e-01
2.155000000000000071e+01,7.326406250000028209e-01,7.294295263046244315e-01
2.165000000000000213e+01,7.289875000000024530e-01,7.294155240948747565e-01
2.175000000000000000e+01,7.308312500000023748e-01,7.293992202446430984e-01
2.185000000000000142e+01,7.302687500000020204e-01,7.293802365501775853e-01
2.195000000000000284e+01,7.279000000000026560e-01,7.293581327088616284e-01
2.205000000000000071e+01,7.311375000000022162e-01,7.293323961397624178e-01
2.215000000000000213e+01,7.306437500000027008e-01,7.293024301415143018e-01
2.225000000000000000e+01,7.294406250000022851e-01,7.292675401180992445e-01
2.235000000000000142e+01,7.294218750000021068e-01,7.292269175601793219e-01
2.245000000000000284e+01,7.289281250000024803e-01,7.291796214201804460e-01
2.255000000000000071e+01,7.303625000000024681e-01,7.291245564623936026e-01
2.265000000000000213e+01,7.324906250000026153e-01,7.290604481039958396e-01
2.275000000000000000e+01,7.322000000000020714e-01,7.289858131879856096e-01
2.285000000000000142e+01,7.297281250000025032e-01,7.288989260434761697e-01
2.295000000000000284e+01,7.289968750000022091e-01,7.287977790914070830e-01
2.305000000000000071e+01,7.264375000000024007e-01,7.286800371433574952e-01
2.315000000000000213e+01,7.295531250000024670e-01,7.285429844167038427e-01
2.325000000000000000e+01,7.301937500000028614e-01,7.283834631499485068e-01
2.335000000000000142e+01,7.323093750000019275e-01,7.281978025471089744e-01
2.345000000000000284e+01,7.288187500000027352e-01,7.279817366095799880e-01
2.355000000000000071e+01,7.287750000000027262e-01,7.277303092287357167e-01
2.365000000000000213e+01,7.274968750000021522e-01,7.274377647148360104e-01
2.375000000000000000e+01,7.291625000000026002e-01,7.270974217315400168e-01
2.385000000000000142e+01,7.275875000000023851e-01,7.267015283971085537e-01
2.395000000000000284e+01,7.260156250000022737e-01,7.262410961134553311e-01
2.405000000000000071e+01,7.248906250000024531e-01,7.257057095078467412e-01
2.415000000000000213e+01,7.248187500000022876e-01,7.250833097412991979e-01
2.425000000000000000e+01,7.244968750000024826e-01,7.243599483836125064e-01
2.435000000000000142e+01,7.260218750000021481e-01,7.235195091204243978e-01
